Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.01    0.02 2963415/3363395     std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_S_key(std::_Rb_tree_node<std::pair<int const, double> > const*) [40]
[39]     0.2    0.01    0.02 3363395         std::_Rb_tree_node<std::pair<int const, double> >::_M_valptr() const [39]
                0.02    0.00 3363395/3363395     __gnu_cxx::__aligned_membuf<std::pair<int const, double> >::_M_ptr() const [41]
-----------------------------------------------
                0.00    0.00  349980/2963415     std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_insert_node(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node<std::pair<int const, double> >*) [50]
                0.00    0.00  399980/2963415     std::pair<std::_Rb_tree_iterator<std::pair<int const, double> >, bool> std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_emplace_unique<std::pair<int, double> >(std::pair<int, double>&&) [20]
                0.00    0.01  646167/2963415     std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_S_key(std::_Rb_tree_node_base const*) [65]
                0.00    0.01 1567288/2963415     std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_get_insert_unique_pos(int const&) [25]
[40]     0.2    0.00    0.03 2963415         std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_S_key(std::_Rb_tree_node<std::pair<int const, double> > const*) [40]
                0.01    0.02 2963415/3363395     std::_Rb_tree_node<std::pair<int const, double> >::_M_valptr() const [39]
                0.00    0.00 2963415/2963415     std::_Select1st<std::pair<int const, double> >::operator()(std::pair<int const, double> const&) const [88]
-----------------------------------------------
                0.02    0.00 3363395/3363395     std::_Rb_tree_node<std::pair<int const, double> >::_M_valptr() const [39]
[41]     0.2    0.02    0.00 3363395         __gnu_cxx::__aligned_membuf<std::pair<int const, double> >::_M_ptr() const [41]
                0.00    0.00 3363395/3363395     __gnu_cxx::__aligned_membuf<std::pair<int const, double> >::_M_addr() const [87]
-----------------------------------------------
                0.01    0.00  799960/2251209     std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, double> >*) [46]
                0.01    0.00 1451249/2251209     std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_get_insert_unique_pos(int const&) [25]
[42]     0.2    0.02    0.00 2251209         std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_S_right(std::_Rb_tree_node_base*) [42]
-----------------------------------------------
                0.00    0.02   50000/50000       Network::Network(int) [44]
[43]     0.2    0.00    0.02   50000         std::map<int, unsigned int, std::less<int>, std::allocator<std::pair<int const, unsigned int> > >::operator[](int const&) [43]
                0.00    0.02   50000/249980      std::map<int, unsigned int, std::less<int>, std::allocator<std::pair<int const, unsigned int> > >::lower_bound(int const&) [21]
                0.00    0.00   50000/50000       std::_Rb_tree_iterator<std::pair<int const, unsigned int> > std::_Rb_tree<int, std::pair<int const, unsigned int>, std::_Select1st<std::pair<int const, unsigned int> >, std::less<int>, std::allocator<std::pair<int const, unsigned int> > >::_M_emplace_hint_unique<std::piecewise_construct_t const&, std::tuple<int const&>, std::tuple<> >(std::_Rb_tree_const_iterator<std::pair<int const, unsigned int> >, std::piecewise_construct_t const&, std::tuple<int const&>&&, std::tuple<>&&) [68]
                0.00    0.00   50000/249980      std::map<int, unsigned int, std::less<int>, std::allocator<std::pair<int const, unsigned int> > >::end() [146]
                0.00    0.00   50000/249981      std::operator==(std::_Rb_tree_iterator<std::pair<int const, unsigned int> > const&, std::_Rb_tree_iterator<std::pair<int const, unsigned int> > const&) [139]
                0.00    0.00   50000/50000       std::tuple<int const&>::tuple<void, true>(int const&) [251]
                0.00    0.00   50000/50000       std::_Rb_tree_const_iterator<std::pair<int const, unsigned int> >::_Rb_tree_const_iterator(std::_Rb_tree_iterator<std::pair<int const, unsigned int> > const&) [244]
                0.00    0.00   50000/449960      std::_Rb_tree_iterator<std::pair<int const, unsigned int> >::operator*() const [114]
-----------------------------------------------
                0.00    0.02       1/1           main [1]
[44]     0.2    0.00    0.02       1         Network::Network(int) [44]
                0.00    0.02   50000/50000       std::map<int, unsigned int, std::less<int>, std::allocator<std::pair<int const, unsigned int> > >::operator[](int const&) [43]
                0.00    0.00   50000/50000       Node::Node(int) [217]
                0.00    0.00   50000/699980      std::vector<Node*, std::allocator<Node*> >::operator[](unsigned long) [105]
                0.00    0.00       1/99991       std::allocator<Node*>::allocator() [192]
                0.00    0.00       1/49996       std::vector<Node*, std::allocator<Node*> >::vector(unsigned long, std::allocator<Node*> const&) [294]
                0.00    0.00       1/299973      std::allocator<Node*>::~allocator() [133]
                0.00    0.00       1/1           std::map<int, unsigned int, std::less<int>, std::allocator<std::pair<int const, unsigned int> > >::map() [383]
-----------------------------------------------
                0.00    0.01   50000/100000      Node::~Node() [63]
                0.00    0.01   50000/100000      Network::writeAdjlist(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) const [26]
[45]     0.1    0.00    0.02  100000         std::map<int, double, std::less<int>, std::allocator<std::pair<int const, double> > >::~map() [45]
                0.00    0.02  100000/100000      std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::~_Rb_tree() [47]
-----------------------------------------------
                              799960             std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, double> >*) [46]
                0.00    0.02  100000/100000      std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::~_Rb_tree() [47]
[46]     0.1    0.00    0.02  100000+799960  std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, double> >*) [46]
                0.00    0.01  799960/799960      std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_drop_node(std::_Rb_tree_node<std::pair<int const, double> >*) [61]
                0.01    0.00  799960/2251209     std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_S_right(std::_Rb_tree_node_base*) [42]
                0.00    0.00  799960/915999      std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_S_left(std::_Rb_tree_node_base*) [95]
                              799960             std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, double> >*) [46]
-----------------------------------------------
                0.00    0.02  100000/100000      std::map<int, double, std::less<int>, std::allocator<std::pair<int const, double> > >::~map() [45]
[47]     0.1    0.00    0.02  100000         std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::~_Rb_tree() [47]
                0.00    0.02  100000/100000      std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, double> >*) [46]
                0.00    0.00  100000/499980      std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_begin() [110]
                0.00    0.00  100000/100000      std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_Rb_tree_impl<std::less<int>, true>::~_Rb_tree_impl() [174]
-----------------------------------------------
                0.00    0.01  399980/399980      std::pair<std::_Rb_tree_iterator<std::pair<int const, double> >, bool> std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_emplace_unique<std::pair<int, double> >(std::pair<int, double>&&) [20]
[48]     0.1    0.00    0.01  399980         std::_Rb_tree_node<std::pair<int const, double> >* std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_create_node<std::pair<int, double> >(std::pair<int, double>&&) [48]
                0.01    0.00  399980/399980      void std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_construct_node<std::pair<int, double> >(std::_Rb_tree_node<std::pair<int const, double> >*, std::pair<int, double>&&) [49]
                0.00    0.00  399980/799960      std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_get_node() [66]
                0.00    0.00  399980/2399880     std::pair<int, double>&& std::forward<std::pair<int, double> >(std::remove_reference<std::pair<int, double> >::type&) [89]
-----------------------------------------------
                0.01    0.00  399980/399980      std::_Rb_tree_node<std::pair<int const, double> >* std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_create_node<std::pair<int, double> >(std::pair<int, double>&&) [48]
[49]     0.1    0.01    0.00  399980         void std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_construct_node<std::pair<int, double> >(std::_Rb_tree_node<std::pair<int const, double> >*, std::pair<int, double>&&) [49]
                0.00    0.00  399980/1999900     std::_Rb_tree_node<std::pair<int const, double> >::_M_valptr() [56]
                0.00    0.00  399980/3199840     std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_get_Node_allocator() [52]
                0.00    0.00  399980/1699920     operator new(unsigned long, void*) [92]
                0.00    0.00  399980/2399880     std::pair<int, double>&& std::forward<std::pair<int, double> >(std::remove_reference<std::pair<int, double> >::type&) [89]
                0.00    0.00  399980/399980      void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<int const, double> > > >::construct<std::pair<int const, double>, std::pair<int, double> >(std::allocator<std::_Rb_tree_node<std::pair<int const, double> > >&, std::pair<int const, double>*, std::pair<int, double>&&) [116]
-----------------------------------------------
                0.00    0.01  399980/399980      std::pair<std::_Rb_tree_iterator<std::pair<int const, double> >, bool> std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_emplace_unique<std::pair<int, double> >(std::pair<int, double>&&) [20]
[50]     0.1    0.00    0.01  399980         std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_insert_node(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node<std::pair<int const, double> >*) [50]
                0.01    0.00  349980/6818384     std::less<int>::operator()(int const&, int const&) const [17]
                0.00    0.00  349980/646167      std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_S_key(std::_Rb_tree_node_base const*) [65]
                0.00    0.00  349980/2963415     std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_S_key(std::_Rb_tree_node<std::pair<int const, double> > const*) [40]
                0.00    0.00  399980/849960      std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_end() [96]
                0.00    0.00  399980/1024546     std::_Rb_tree_iterator<std::pair<int const, double> >::_Rb_tree_iterator(std::_Rb_tree_node_base*) [94]
-----------------------------------------------
                0.00    0.00   49999/4504948     std::_Rb_tree<int, std::pair<int const, unsigned int>, std::_Select1st<std::pair<int const, unsigned int> >, std::less<int>, std::allocator<std::pair<int const, unsigned int> > >::_M_insert_node(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node<std::pair<int const, unsigned int> >*) [70]
                0.00    0.00   50000/4504948     std::_Rb_tree_iterator<std::pair<int const, unsigned int> > std::_Rb_tree<int, std::pair<int const, unsigned int>, std::_Select1st<std::pair<int const, unsigned int> >, std::less<int>, std::allocator<std::pair<int const, unsigned int> > >::_M_emplace_hint_unique<std::piecewise_construct_t const&, std::tuple<int const&>, std::tuple<> >(std::_Rb_tree_const_iterator<std::pair<int const, unsigned int> >, std::piecewise_construct_t const&, std::tuple<int const&>&&, std::tuple<>&&) [68]
                0.00    0.00   99998/4504948     std::_Rb_tree<int, std::pair<int const, unsigned int>, std::_Select1st<std::pair<int const, unsigned int> >, std::less<int>, std::allocator<std::pair<int const, unsigned int> > >::_S_key(std::_Rb_tree_node_base const*) [72]
                0.01    0.00 4304951/4504948     std::_Rb_tree<int, std::pair<int const, unsigned int>, std::_Select1st<std::pair<int const, unsigned int> >, std::less<int>, std::allocator<std::pair<int const, unsigned int> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<int const, unsigned int> >*, std::_Rb_tree_node_base*, int const&) [23]
[51]     0.1    0.01    0.00 4504948         std::_Rb_tree<int, std::pair<int const, unsigned int>, std::_Select1st<std::pair<int const, unsigned int> >, std::less<int>, std::allocator<std::pair<int const, unsigned int> > >::_S_key(std::_Rb_tree_node<std::pair<int const, unsigned int> > const*) [51]
                0.00    0.00 4504948/4504948     std::_Rb_tree_node<std::pair<int const, unsigned int> >::_M_valptr() const [86]
                0.00    0.00 4504948/4504948     std::_Select1st<std::pair<int const, unsigned int> >::operator()(std::pair<int const, unsigned int> const&) const [85]
-----------------------------------------------
                0.00    0.00  399980/3199840     void std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_construct_node<std::pair<int, double> >(std::_Rb_tree_node<std::pair<int const, double> >*, std::pair<int, double>&&) [49]
                0.00    0.00  399980/3199840     void std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_construct_node<std::pair<int const, double> const&>(std::_Rb_tree_node<std::pair<int const, double> >*, std::pair<int const, double> const&) [36]
                0.00    0.00  799960/3199840     std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<int const, double> >*) [64]
                0.00    0.00  799960/3199840     std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_put_node(std::_Rb_tree_node<std::pair<int const, double> >*) [67]
                0.00    0.00  799960/3199840     std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_get_node() [66]
[52]     0.1    0.01    0.00 3199840         std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_get_Node_allocator() [52]
-----------------------------------------------
                0.00    0.00   50000/2516745     std::_Rb_tree<int, std::pair<int const, unsigned int>, std::_Select1st<std::pair<int const, unsigned int> >, std::less<int>, std::allocator<std::pair<int const, unsigned int> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, unsigned int> >*) [74]
                0.01    0.00 2466745/2516745     std::_Rb_tree<int, std::pair<int const, unsigned int>, std::_Select1st<std::pair<int const, unsigned int> >, std::less<int>, std::allocator<std::pair<int const, unsigned int> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<int const, unsigned int> >*, std::_Rb_tree_node_base*, int const&) [23]
[53]     0.1    0.01    0.00 2516745         std::_Rb_tree<int, std::pair<int const, unsigned int>, std::_Select1st<std::pair<int const, unsigned int> >, std::less<int>, std::allocator<std::pair<int const, unsigned int> > >::_S_right(std::_Rb_tree_node_base*) [53]
-----------------------------------------------
                0.00    0.01 1999900/1999900     std::_Rb_tree_node<std::pair<int const, double> >::_M_valptr() [56]
[54]     0.1    0.00    0.01 1999900         __gnu_cxx::__aligned_membuf<std::pair<int const, double> >::_M_ptr() [54]
                0.01    0.00 1999900/1999900     __gnu_cxx::__aligned_membuf<std::pair<int const, double> >::_M_addr() [55]
-----------------------------------------------
                0.01    0.00 1999900/1999900     __gnu_cxx::__aligned_membuf<std::pair<int const, double> >::_M_ptr() [54]
[55]     0.1    0.01    0.00 1999900         __gnu_cxx::__aligned_membuf<std::pair<int const, double> >::_M_addr() [55]
-----------------------------------------------
                0.00    0.00  399980/1999900     std::_Rb_tree_iterator<std::pair<int const, double> >::operator*() const [69]
                0.00    0.00  399980/1999900     void std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_construct_node<std::pair<int, double> >(std::_Rb_tree_node<std::pair<int const, double> >*, std::pair<int, double>&&) [49]
                0.00    0.00  399980/1999900     void std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_construct_node<std::pair<int const, double> const&>(std::_Rb_tree_node<std::pair<int const, double> >*, std::pair<int const, double> const&) [36]
                0.00    0.00  799960/1999900     std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<int const, double> >*) [64]
[56]     0.1    0.00    0.01 1999900         std::_Rb_tree_node<std::pair<int const, double> >::_M_valptr() [56]
                0.00    0.01 1999900/1999900     __gnu_cxx::__aligned_membuf<std::pair<int const, double> >::_M_ptr() [54]
-----------------------------------------------
                0.01    0.00   49995/49995       std::vector<Node*, std::allocator<Node*> >::vector<__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, void>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, std::allocator<Node*> const&) [58]
[57]     0.1    0.01    0.00   49995         void std::vector<Node*, std::allocator<Node*> >::_M_range_initialize<__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, std::forward_iterator_tag) [57]
                0.00    0.00   99990/249978      std::_Vector_base<Node*, std::allocator<Node*> >::_M_get_Tp_allocator() [151]
                0.00    0.00   49995/49995       std::iterator_traits<__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > >::difference_type std::distance<__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >) [323]
                0.00    0.00   49995/99991       std::vector<Node*, std::allocator<Node*> >::_S_check_init_len(unsigned long, std::allocator<Node*> const&) [203]
                0.00    0.00   49995/99991       std::_Vector_base<Node*, std::allocator<Node*> >::_M_allocate(unsigned long) [193]
                0.00    0.00   49995/49995       Node** std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node**, Node*>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, Node**, std::allocator<Node*>&) [320]
-----------------------------------------------
                0.00    0.01   49995/49995       void Network::initEdgesBianconiBarabasi<std::uniform_real_distribution<double> >(std::uniform_real_distribution<double>&, int) [2]
[58]     0.1    0.00    0.01   49995         std::vector<Node*, std::allocator<Node*> >::vector<__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, void>(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, std::allocator<Node*> const&) [58]
                0.01    0.00   49995/49995       void std::vector<Node*, std::allocator<Node*> >::_M_range_initialize<__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >, std::forward_iterator_tag) [57]
                0.00    0.00   49995/49995       std::_Vector_base<Node*, std::allocator<Node*> >::_Vector_base(std::allocator<Node*> const&) [307]
                0.00    0.00   49995/99990       std::iterator_traits<__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > const&) [213]
-----------------------------------------------
                0.01    0.00   49995/49995       std::vector<Node*, std::allocator<Node*> > randomChoice<Node*>(std::vector<Node*, std::allocator<Node*> > const&, int, std::vector<double, std::allocator<double> >) [3]
[59]     0.1    0.01    0.00   49995         std::vector<double, std::allocator<double> >::end() [59]
                0.00    0.00   49995/99992       __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&) [182]
-----------------------------------------------
                                                 <spontaneous>
[60]     0.1    0.01    0.00                 void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<int const, unsigned int> > > >::construct<std::pair<int const, unsigned int>, std::piecewise_construct_t const&, std::tuple<int&&>, std::tuple<> >(std::allocator<std::_Rb_tree_node<std::pair<int const, unsigned int> > >&, std::pair<int const, unsigned int>*, std::piecewise_construct_t const&, std::tuple<int&&>&&, std::tuple<>&&) [60]
-----------------------------------------------
                0.00    0.01  799960/799960      std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_erase(std::_Rb_tree_node<std::pair<int const, double> >*) [46]
[61]     0.1    0.00    0.01  799960         std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_drop_node(std::_Rb_tree_node<std::pair<int const, double> >*) [61]
                0.00    0.01  799960/799960      std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<int const, double> >*) [64]
                0.00    0.00  799960/799960      std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_put_node(std::_Rb_tree_node<std::pair<int const, double> >*) [67]
-----------------------------------------------
                0.00    0.01       1/1           main [1]
[62]     0.1    0.00    0.01       1         Network::~Network() [62]
                0.00    0.01   50000/50000       Node::~Node() [63]
                0.00    0.00       1/1           std::map<int, unsigned int, std::less<int>, std::allocator<std::pair<int const, unsigned int> > >::~map() [73]
                0.00    0.00   50001/299976      bool __gnu_cxx::operator!=<Node**, std::vector<Node*, std::allocator<Node*> > >(__gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > const&, __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > > const&) [131]
                0.00    0.00   50000/249980      __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::operator*() const [141]
                0.00    0.00   50000/249980      __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::operator++() [140]
                0.00    0.00       1/149986      std::vector<Node*, std::allocator<Node*> >::begin() [164]
                0.00    0.00       1/49996       std::vector<Node*, std::allocator<Node*> >::end() [293]
                0.00    0.00       1/1           std::vector<Node*, std::allocator<Node*> >::clear() [386]
                0.00    0.00       1/99991       std::vector<Node*, std::allocator<Node*> >::~vector() [204]
-----------------------------------------------
                0.00    0.01   50000/50000       Network::~Network() [62]
[63]     0.1    0.00    0.01   50000         Node::~Node() [63]
                0.00    0.01   50000/100000      std::map<int, double, std::less<int>, std::allocator<std::pair<int const, double> > >::~map() [45]
-----------------------------------------------
                0.00    0.01  799960/799960      std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_drop_node(std::_Rb_tree_node<std::pair<int const, double> >*) [61]
[64]     0.1    0.00    0.01  799960         std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<int const, double> >*) [64]
                0.00    0.00  799960/1999900     std::_Rb_tree_node<std::pair<int const, double> >::_M_valptr() [56]
                0.00    0.00  799960/3199840     std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_get_Node_allocator() [52]
                0.00    0.00  799960/799960      void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<int const, double> > > >::destroy<std::pair<int const, double> >(std::allocator<std::_Rb_tree_node<std::pair<int const, double> > >&, std::pair<int const, double>*) [102]
-----------------------------------------------
                0.00    0.00  296187/646167      std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_get_insert_unique_pos(int const&) [25]
                0.00    0.00  349980/646167      std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_insert_node(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node<std::pair<int const, double> >*) [50]
[65]     0.0    0.00    0.01  646167         std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_S_key(std::_Rb_tree_node_base const*) [65]
                0.00    0.01  646167/2963415     std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_S_key(std::_Rb_tree_node<std::pair<int const, double> > const*) [40]
-----------------------------------------------
                0.00    0.00  399980/799960      std::_Rb_tree_node<std::pair<int const, double> >* std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_create_node<std::pair<int, double> >(std::pair<int, double>&&) [48]
