Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     12.52     0.00   549960     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, unsigned int> >::_M_addr()
  0.00     12.52     0.00   549960     0.00     0.00  std::_Rb_tree_node<std::pair<int const, unsigned int> >::_M_valptr()
  0.00     12.52     0.00   499980     0.00     0.00  std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_begin()
  0.00     12.52     0.00   499960     0.00     0.00  std::uniform_real_distribution<double>::param_type::a() const
  0.00     12.52     0.00   449980     0.00     0.00  std::_Rb_tree_node_base*& std::forward<std::_Rb_tree_node_base*&>(std::remove_reference<std::_Rb_tree_node_base*&>::type&)
  0.00     12.52     0.00   449980     0.00     0.00  std::operator!=(std::_Rb_tree_iterator<std::pair<int const, double> > const&, std::_Rb_tree_iterator<std::pair<int const, double> > const&)
  0.00     12.52     0.00   449960     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, unsigned int> >::operator*() const
  0.00     12.52     0.00   399980     0.00     0.00  Node::addConnection(int, double)
  0.00     12.52     0.00   399980     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int const, double> > >::construct<std::pair<int const, double>, std::pair<int, double> >(std::pair<int const, double>*, std::pair<int, double>&&)
  0.00     12.52     0.00   399980     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, double> >::operator*() const
  0.00     12.52     0.00   399980     0.00     0.00  std::_Rb_tree_node<std::pair<int const, double> >* std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_Alloc_node::operator()<std::pair<int const, double> const&>(std::pair<int const, double> const&) const
  0.00     12.52     0.00   399980     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<int const, double> > > >::construct<std::pair<int const, double>, std::pair<int const, double> const&>(std::allocator<std::_Rb_tree_node<std::pair<int const, double> > >&, std::pair<int const, double>*, std::pair<int const, double> const&)
  0.00     12.52     0.00   399980     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<int const, double> > > >::construct<std::pair<int const, double>, std::pair<int, double> >(std::allocator<std::_Rb_tree_node<std::pair<int const, double> > >&, std::pair<int const, double>*, std::pair<int, double>&&)
  0.00     12.52     0.00   399980     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, double> >::operator++()
